yas,gelir,abonelik_suresi_ay,destek_talebi_sayisi,sehir,uyelik_tipi,churn
21,10252.4,27,0,Istanbul,Standart,1
42,12015.51,9,1,Izmir,Premium,1
31,14443.98,26,1,Izmir,Gold,0
67,6254.65,57,6,Ankara,Premium,1
26,8292.98,47,1,Ankara,Gold,1
43,6891.53,57,0,Bursa,Standart,0
19,9261.4,22,2,Istanbul,Standart,1
37,21948.01,47,3,Ankara,Gold,0
45,10723.8,56,6,Bursa,Premium,1
64,9864.69,30,1,Izmir,Standart,1
24,19414.19,43,0,Ankara,Premium,0
61,12753.48,48,3,Antalya,Gold,1
25,17093.2,17,5,Bursa,Premium,1
64,11359.1,26,2,Istanbul,Premium,1
52,5990.56,36,2,Izmir,Standart,0
31,17338.59,1,2,Izmir,Premium,0
34,7242.83,8,2,Ankara,Premium,0
53,12447.53,49,3,Ankara,Gold,1
67,11335.24,35,2,Ankara,Gold,1
57,15976.73,52,2,Izmir,Gold,0
21,12220.28,15,2,Ankara,Standart,1
19,14361.33,47,4,Bursa,Premium,1
23,7197.21,56,2,Izmir,Premium,0
59,25001.74,22,1,Istanbul,Premium,0
21,8999.34,14,1,Izmir,Premium,1
46,21006.9,26,0,Istanbul,Gold,0
35,15749.17,28,1,Izmir,Standart,0
43,15704.54,23,1,Izmir,Premium,0
61,16772.1,14,2,Istanbul,Standart,1
51,5598.44,24,3,Ankara,Standart,1
27,19831.96,2,2,Istanbul,Premium,1
53,,45,0,Istanbul,Premium,0
31,21051.99,26,1,Ankara,Standart,0
48,14243.82,14,4,Ankara,Standart,1
65,13127.39,59,3,Antalya,Premium,1
32,8543.92,56,1,Ankara,Standart,1
25,11172.45,51,1,Ankara,Standart,0
31,17111.57,7,3,Izmir,Standart,1
40,8460.43,3,2,Istanbul,Standart,1
57,5047.0,47,1,Antalya,Standart,1
38,10712.26,23,2,Izmir,Standart,1
33,19200.03,46,0,Bursa,Standart,0
62,23906.46,43,0,Istanbul,Gold,0
35,11612.92,47,0,Ankara,Premium,0
64,7255.86,45,1,Ankara,Premium,0
41,13284.35,18,0,Bursa,Standart,0
43,15919.28,58,3,Istanbul,Standart,1
42,17889.49,38,2,Ankara,Premium,0
62,25673.21,35,5,Antalya,Standart,1
58,16134.24,51,4,Ankara,Standart,1
46,23277.31,15,1,Ankara,Premium,0
32,12685.37,25,3,Istanbul,Premium,1
62,15432.83,55,1,Antalya,Standart,0
18,12035.59,37,1,Istanbul,Standart,0
42,11599.98,28,0,Bursa,Premium,0
24,13682.97,10,3,Bursa,Standart,1
26,13596.73,39,2,Istanbul,Premium,1
41,11980.12,57,2,Izmir,Premium,0
18,12253.74,17,3,Istanbul,Gold,1
61,20483.98,39,2,Istanbul,Standart,0
25,25565.56,22,3,Bursa,Gold,0
41,12507.97,26,2,Antalya,Premium,0
28,13378.02,44,2,Izmir,Standart,0
68,17623.05,25,0,Izmir,Standart,0
34,30935.17,17,2,Istanbul,Premium,0
25,15420.82,13,0,Istanbul,Standart,1
52,19863.16,20,0,Istanbul,Standart,0
52,22722.37,25,0,Istanbul,Standart,0
50,16720.34,4,0,Ankara,Gold,1
22,19631.16,10,2,,Premium,1
59,18039.19,3,1,Ankara,Premium,1
56,20162.56,41,1,Istanbul,Standart,0
58,9827.99,45,1,Izmir,Standart,0
45,16021.41,18,1,Bursa,Premium,0
24,17406.09,47,3,Istanbul,Standart,0
26,17335.29,36,1,Antalya,Standart,0
25,,47,0,Antalya,Premium,0
29,17234.45,22,1,Istanbul,Gold,0
51,9275.26,34,2,Bursa,Premium,1
50,17956.58,47,6,Izmir,Premium,1
65,10584.61,8,0,Izmir,Gold,1
40,11503.11,40,2,Ankara,Standart,0
41,12907.46,49,1,Izmir,Premium,1
54,14442.91,44,0,Ankara,Gold,0
52,7281.37,19,1,Izmir,Standart,1
61,20584.47,42,4,Izmir,Premium,0
57,9222.42,41,2,,Premium,1
39,22850.55,37,1,Izmir,Premium,0
44,9375.24,6,3,Bursa,Premium,1
52,21409.6,52,2,Istanbul,Gold,0
18,14857.89,26,3,Istanbul,Premium,1
52,6417.88,34,1,,Standart,1
54,9785.19,59,0,Ankara,Gold,0
64,21632.36,56,1,Istanbul,Standart,0
31,17243.24,59,3,Istanbul,Standart,0
20,14606.34,45,1,Istanbul,Standart,0
18,3916.19,6,1,Antalya,Standart,1
22,21947.83,37,2,Izmir,Standart,1
43,24352.12,57,2,Antalya,Gold,0
31,23440.09,33,4,Izmir,Premium,1
56,11923.77,53,3,Ankara,Premium,0
44,16914.0,22,1,Ankara,Standart,0
26,17460.71,21,0,Izmir,Gold,0
32,7362.74,6,0,Istanbul,Gold,1
32,15902.46,6,1,Antalya,Premium,0
43,20355.21,55,1,Bursa,Standart,0
59,18822.39,48,1,Ankara,Standart,1
30,9444.18,4,4,Antalya,Standart,1
68,10686.92,30,1,Bursa,Standart,0
49,18952.97,11,1,Izmir,Standart,1
56,18164.26,30,2,Istanbul,Gold,1
66,3729.21,31,0,Ankara,Standart,0
69,3000.0,24,0,Izmir,Standart,1
49,14617.34,55,1,Istanbul,Standart,0
21,12051.74,9,0,Istanbul,Standart,1
47,13508.49,55,1,Bursa,Standart,0
54,12943.55,3,1,Istanbul,Standart,1
40,19920.12,51,1,Izmir,Standart,1
56,15517.84,31,2,Antalya,Premium,0
62,16338.18,40,0,Antalya,Gold,0
32,8288.44,37,2,Istanbul,Standart,1
60,3000.0,36,2,Antalya,Standart,1
46,20617.71,24,3,Istanbul,Gold,1
53,25716.03,31,0,Istanbul,Standart,0
30,13287.06,6,4,Izmir,Standart,1
49,16246.57,2,2,Ankara,Gold,1
24,16622.59,20,3,Ankara,Standart,0
68,23376.47,28,0,Izmir,Premium,0
39,19444.92,11,0,Istanbul,Premium,0
45,17480.32,4,2,Istanbul,Standart,1
19,15277.86,15,3,Ankara,Standart,1
59,15301.16,6,2,Bursa,Premium,1
62,7802.69,54,0,Izmir,Standart,1
23,13082.56,49,2,Istanbul,Standart,1
45,19431.01,30,5,Ankara,Premium,1
45,13831.48,56,1,Istanbul,Premium,0
61,15221.75,38,2,Istanbul,Standart,1
61,9119.36,51,3,Bursa,Gold,1
37,17227.53,57,1,Istanbul,Standart,0
47,7691.22,2,0,Istanbul,Gold,0
28,16449.41,15,0,Izmir,Premium,0
45,14063.88,11,0,Izmir,Premium,1
42,6283.57,8,2,Izmir,Standart,1
56,20347.39,26,2,Istanbul,Gold,0
50,14180.67,51,1,Istanbul,Standart,1
18,24303.89,45,1,Istanbul,Premium,0
44,22391.26,44,2,Istanbul,Standart,0
69,10602.66,5,1,Izmir,Standart,1
30,11041.4,6,0,Bursa,Standart,1
58,9140.12,26,1,Bursa,Gold,1
20,7067.68,54,3,Bursa,Gold,1
56,12889.11,4,2,Ankara,Standart,0
23,22218.74,19,6,Izmir,Standart,1
25,5425.46,20,1,Ankara,Premium,1
44,19259.72,33,0,Izmir,Standart,0
26,18841.7,20,1,Ankara,Standart,0
54,17773.46,49,1,Istanbul,Premium,0
50,18665.87,12,3,Ankara,Premium,0
68,9478.89,47,2,Antalya,Gold,1
59,18807.86,1,2,Istanbul,Standart,0
61,12253.71,26,1,Istanbul,Standart,0
41,3000.0,14,2,Ankara,Premium,1
32,15287.06,38,2,,Premium,0
49,10779.46,37,3,Izmir,Premium,1
49,21794.08,11,3,Izmir,Premium,1
41,13568.27,36,3,Istanbul,Standart,1
58,15228.04,13,3,Izmir,Gold,1
69,16945.9,43,0,Ankara,Standart,0
66,13663.0,3,0,Bursa,Standart,0
66,14480.79,33,2,Izmir,Premium,0
69,19217.87,6,2,Istanbul,Standart,1
29,9668.39,50,1,Istanbul,Standart,0
56,11490.93,56,3,Istanbul,Gold,1
19,10164.44,10,0,Ankara,Standart,1
20,22183.77,5,0,Istanbul,Premium,0
66,11491.5,23,1,Izmir,Standart,0
54,14283.58,10,2,Ankara,Premium,1
66,11996.98,44,1,Istanbul,Standart,0
34,13459.11,2,1,Istanbul,Standart,1
66,11312.85,13,1,Istanbul,Gold,1
19,17313.62,40,3,Antalya,Premium,0
19,9795.75,2,3,Istanbul,Standart,1
45,8237.75,20,2,Izmir,Standart,0
40,12207.9,1,2,Bursa,Gold,0
54,11008.82,37,3,Izmir,Premium,1
49,8310.78,9,1,Antalya,Premium,1
50,13383.14,17,2,Ankara,Premium,1
18,6699.41,9,2,Antalya,Standart,1
36,23638.74,11,2,Istanbul,Standart,1
19,7536.99,15,1,Istanbul,Premium,1
61,11768.5,24,1,Izmir,Standart,0
43,12982.23,38,2,Antalya,Standart,1
49,23423.42,55,1,Bursa,Gold,0
23,6348.42,35,1,Istanbul,Premium,0
49,15710.25,30,2,Istanbul,Premium,1
21,20185.79,31,2,Antalya,Premium,0
28,13451.28,49,1,Istanbul,Premium,0
34,9150.91,5,2,Bursa,Standart,1
55,14460.08,44,2,Bursa,Standart,1
41,22635.51,50,3,Ankara,Standart,0
22,11921.07,14,1,Ankara,Standart,1
69,22180.92,53,1,Ankara,Premium,0
51,16293.33,56,3,Istanbul,Standart,0
23,21162.57,11,3,Antalya,Standart,1
39,16093.42,9,1,Ankara,Standart,1
28,12578.12,34,1,Antalya,Standart,1
65,23194.3,12,1,Istanbul,Standart,1
33,16126.18,35,0,Antalya,Standart,0
50,,35,0,Ankara,Standart,0
26,19037.78,1,0,Istanbul,Standart,1
23,19620.76,40,2,Istanbul,Standart,1
33,19064.28,22,2,Bursa,Premium,0
46,8246.39,29,2,Izmir,Standart,1
20,11813.82,8,1,Bursa,Standart,1
37,11717.36,11,1,Istanbul,Premium,1
53,11104.6,41,0,Istanbul,Standart,0
36,10639.48,37,0,Izmir,Gold,0
43,11644.88,14,0,Ankara,Premium,1
20,16679.74,30,2,Ankara,Standart,1
36,17472.05,35,0,Antalya,Premium,0
37,14991.82,21,1,Antalya,Standart,0
49,12869.84,37,2,Antalya,Premium,1
24,21377.32,5,3,Bursa,Standart,1
69,14542.17,19,1,Ankara,Gold,1
58,19685.36,59,2,Ankara,Standart,0
50,12153.37,14,6,Izmir,Premium,1
57,17068.56,26,1,Bursa,Premium,0
56,21710.44,4,1,Istanbul,Standart,0
35,3000.0,25,3,Ankara,Standart,1
57,11724.57,45,1,,Premium,0
18,17968.71,42,3,Izmir,Gold,0
28,21064.08,25,3,Antalya,Standart,1
45,16015.57,18,1,Bursa,Premium,0
42,15247.86,40,1,Istanbul,Gold,1
67,23052.89,8,2,Antalya,Gold,0
40,21369.97,39,1,Izmir,Standart,0
48,10657.09,40,2,Istanbul,Premium,1
47,15582.05,14,0,Istanbul,Standart,1
59,16800.85,32,1,Istanbul,Gold,1
52,23593.0,51,3,Istanbul,Standart,0
24,,38,4,Antalya,Standart,1
33,14482.12,33,0,Ankara,Premium,0
43,16100.37,23,1,Antalya,Standart,1
65,5580.58,15,1,Ankara,Gold,1
69,19843.14,33,3,Istanbul,Gold,0
66,18228.66,25,3,Ankara,Premium,0
19,21060.78,17,3,Istanbul,Standart,1
18,14279.75,33,1,Ankara,Premium,1
65,15640.21,47,0,Antalya,Standart,0
29,12593.31,55,2,Izmir,Standart,1
22,9259.73,2,3,Izmir,Gold,1
54,11988.72,14,4,Istanbul,Standart,1
